"Step","total Acc","fresh-sunset-5 - eval/data/age_bias_contain_score_test.json_Preference total Acc__MIN","fresh-sunset-5 - eval/data/age_bias_contain_score_test.json_Preference total Acc__MAX"
"0","0.5011389255523682","0.5011389255523682","0.5011389255523682"
"11","0.537585437297821","0.537585437297821","0.537585437297821"
"22","0.5763098001480103","0.5763098001480103","0.5763098001480103"
"33","0.6218678951263428","0.6218678951263428","0.6218678951263428"
"44","0.6332573890686035","0.6332573890686035","0.6332573890686035"
"55","0.660592257976532","0.660592257976532","0.660592257976532"
"66","0.6856492161750793","0.6856492161750793","0.6856492161750793"
"77","0.7061503529548645","0.7061503529548645","0.7061503529548645"
"88","0.6970387101173401","0.6970387101173401","0.6970387101173401"
"99","0.7220956683158875","0.7220956683158875","0.7220956683158875"
"110","0.7118450999259949","0.7118450999259949","0.7118450999259949"
"121","0.7312073111534119","0.7312073111534119","0.7312073111534119"
"132","0.7243735790252686","0.7243735790252686","0.7243735790252686"
"143","0.7835990786552429","0.7835990786552429","0.7835990786552429"
"154","0.7630979418754578","0.7630979418754578","0.7630979418754578"
"165","0.7790432572364807","0.7790432572364807","0.7790432572364807"
"176","0.7494305372238159","0.7494305372238159","0.7494305372238159"
"187","0.7949886322021484","0.7949886322021484","0.7949886322021484"
"198","0.8075171113014221","0.8075171113014221","0.8075171113014221"
"209","0.8086560368537903","0.8086560368537903","0.8086560368537903"
"220","0.8177676796913147","0.8177676796913147","0.8177676796913147"
"231","0.8086560368537903","0.8086560368537903","0.8086560368537903"
"242","0.8086560368537903","0.8086560368537903","0.8086560368537903"
"253","0.8109339475631714","0.8109339475631714","0.8109339475631714"
"264","0.8075171113014221","0.8075171113014221","0.8075171113014221"
"275","0.8041002154350281","0.8041002154350281","0.8041002154350281"
"286","0.8041002154350281","0.8041002154350281","0.8041002154350281"
"288","0.801822304725647","0.801822304725647","0.801822304725647"
